职位,薪水,经验,学历,关键词,工作地址
中餐厅服务员,4000-5000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
加班补贴
工龄奖金
全勤奖金
工作内容:
1、按照主管安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用
2、接待顾客应主动、热情、礼貌、耐心、周到
3、运用礼貌语言，为客人提供最佳服务
4、善于向顾客介绍和推销本餐厅饮品及特色菜点
5、配合主管工作，服从主管或以上领导指挥，团结及善于帮助同事工作；
6、积极参加培训，不断提高服务技能。
任职资格：
1、品行端正，能吃苦耐劳，初中以以上学历","工作地点
西安市未央区未央路132号四楼膳缘隐舍餐厅
查看地图"
寒假工餐饮服务员/包吃住/综合3800左右,4000-5000元,梓潼,1年以下,"职位描述
中餐厅
西餐厅
火锅店
包吃包住
免费工装
节日福利
工作内容：点餐，收拾餐桌
工作时间：9:30---21:00（休息时间在内）
岗位要求：年龄17-30岁以内，需必须有餐饮兼职工作经验！
福利待遇：保底3400＋提成＋月休两天＋包吃住（综合4000左右）
工作地址：成都主城区都有门店！
标注：先预约，先享受安排门店！需要过年在岗！至少需要做到年后！","工作地点
成都锦江区春熙路
查看地图"
郑州东站肯德基服务员,13-14元/时,经验不限,学历不限,"职位描述
西餐厅
【工作内容】
你将从事：
对客服务类工作：满足顾客需要，给顾客带来完美用餐体验
产品制作类工作：直接参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺
【招聘对象】
年满18周岁，在校大学生,可接受实习生
或有全职投保工作，利用业余时间兼职
【福利待遇】
1、有竞争力的工资待遇
2、员工折扣餐；
3、员工集体家族活动；
4、优秀员工奖励（礼品）；
5、每月上满100小时享工时奖励，另有早晚班津贴；
6、法定节假日3薪；
【发展空间】
系统正规的培训，由你自己主导自我发展
服务员→训练员→楼面经理→餐厅副经理→更高管理职位..","工作地点
郑州金水区肯德基(郑东站内店)
查看地图"
五险一金+餐厅服务员,3000-4000元,经验不限,学历不限,"职位描述
中餐厅
西餐厅
包吃包住
五险一金
免费工装
节日福利
招聘大堂吧服务员一名（需缴纳五险一金，短期勿扰）
岗位职责
1、做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用；
2、接待顾客应主动、热情、礼貌、耐心、周到。
任职资格
1、年龄18-35岁，身体健康；
2、品行端正，能吃苦耐劳。
上班时间：早班7：00-15：30、晚班14：30-23：00（月休四天）
薪资标准：3000-3200元/月（五险一金前）
我们的福利包含以下内容:
入职即为您缴五险一金、带薪年假、有薪病假、生日礼品、郊游活动及其他丰富的员工团队活动；为您提供免费舒适的员工公寓及床上用品；每间公寓配独立卫生间、热水器、空调、WiiFi等；为您提供免费的优质营养工作餐及饮料；为您提供免费制服、工鞋及洗涤服务等。
有意者请携带身份证及彩色一寸近照前来酒店人力资源部面试。
联系人：宋先生
酒店地址及交通方式：黄石市团城山开发区广会路18号(市政府斜对面、市博物馆旁)
公交5路、8路、11路、12路、13路、18路、25路、31路人民广场站下车
面试时间：请提前约定面试时间（周一至周五）","工作地点
黄石下陆区闻泰花园酒店团城山广会路18号
查看地图"
榆林海底捞火锅店招服务员包吃住,5000-6000元,经验不限,学历不限,"职位描述
火锅店
包吃包住
服务员
门迎
后厨
水电全免
一、【招聘岗位】
服务员、门迎、传菜员、后厨、保洁、洗碗工等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
榆林海底捞全勤综合工资4900～8000/月，实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）。
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
7.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。","工作地点
陕西省榆林市榆阳区保宁东路2号k01榆星广场4层07号商铺4楼
查看地图"
服务员包吃住,6000-7000元,经验不限,学历不限,"职位描述
酒吧
娱乐场所
包吃包住
免费工装
包吃
本公司为连锁经营管理
岗位职责
听从工作安排，遵守公司规章制度
保持仪容整洁，细心负责
1:工作内容:接待客人、送果盘，小吃，打扫卫生、
2:工作待遇:工资月结、月休4天、包吃住宿
3:工作时间:根据业务需求灵活安排
4:应聘要求:吃苦耐劳、耐心周到，性格开朗
5:学历不限，有无经验均可，","工作地点
漳州市-龙海区-滨湖路3号12栋518室518
查看地图"
必胜客兼职/日结/协商排班,4000元,林萃,经验不限,"职位描述
中餐厅
免费工装
兼职
招聘日结小时工了!!
全北京就近分配，全北京就近分配 .前厅和后厨
工资:20.5-24一小时(商圈不同，工资不同)
提供可上班时段和店内营运情况协商排班
招聘点位:海淀/朝阳/西城/东城/通州/昌平/大兴均有缺口，就近分配","工作地点
北京朝阳区必胜客(科荟路宅急送店)1
查看地图"
私房菜服务员,7000-9000元,1-3年,学历不限,"职位描述
中餐厅
包吃包住
五险一金
周末双休
岗位要求：
1、工作经验：具有一年以上餐饮服务经验，特别是在高端餐厅、酒店或者类似的私房菜工作背景者优先，具备基本的服务意识和沟通能力。
2、服务技能：熟练掌握摆台、泡茶、斟酒等基本服务接待技能，并能够规范地进行餐厅布置和餐桌摆设，确保提供高品质的用餐环境。
3、产品知识：熟悉菜单和酒水列表内容，了解食材和烹饪方法，以便向客人介绍并提供建议。
4、外貌气质：五官端正，形象气质佳，要求净身高在162cm以上，年龄在25-38周岁之间，性格外向开朗，身体健康。
5、仪容仪表注重个人仪容仪表的整洁，保持良好的个人卫生和专业的形象。
6、团队合作：具有良好的团队合作精神，能够在压力下保持冷静，高效地与同事协作，共同为。
7、服务意识强：具备强烈的服务意识，活泼开朗，主动为客人提供细致入微的服务，关注客人需求，及时解决问题。
8、客户导向：以客户为中心，始终保持礼貌和耐心，即使在面对困难或挑剔的客人时也能保持友好的态度。
9、沟通技巧：具备良好的沟通技巧，能够准确理解和传达信息，用词得体，表达清晰。
10、持续学习：愿意不断学习新的服务技能和知识，不断提升自己。愿意在服务领域长期发展，并努力提升自己的服务水平。
11、讲解表达方面有经验 能力强者，加分。
后勤中心，
包吃住，住宿地址：圈子公寓（距离公司5公里左右）
正常做五休二，固定周末休息，正常班11:00-14:00 17:00-22:00、10:00-14:00 17:00-21:00、早班07:30-13:00
16:30-19:00等，工作时间8小时","工作地点
上海浦东新区远东宏信广场耀江路9号
查看地图"
管吃管住/三薪服务员,5000-7000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
全勤奖金
工龄奖金
免费工装
一、工作职责:
1.负责迎客、点菜、上菜、巡台、送客等服务
2.对客人提供服务
二、岗位要求:
学历不限，会使用智能手机
三、薪资福利:
1、底薪+提成，综合6000-8000
2、免费食宿
3、每月享有公休
4、结婚礼金、生日礼金等
5、法定三薪
包吃包住：一日三餐，宿舍拎包入住，空调、热水器、洗衣机、WiFi、洗发水、沐浴露","工作地点
北京东城区全聚德(王府井店)101
查看地图"
餐厅服务员（包吃住）,5000-6000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
餐厅 急招：服务员
【薪资】：底薪4800-5000元，形象好有经验、
【上班时间】：10.00 ~ 14.00（中间休息）17.00 ~ 22.00（排班9h）
（下午休息3个小时，离岗自由活动）
【福利】：包吃2餐，包住宿（走路几分钟），上六休一
1、季度奖金150 ~ 900元（看门店收益）+全勤100元/月+工龄100元/年（5年封顶）
2、季度结算加班 优先调休，季度结算
3、每年3、9月份，业务考核，达标可涨薪
4、生日月份可多休息1天，不休有加班费
【要求】：18 ~ 30，
Nv 身高160以上，体重120以下
Nan身高170以上，体重140以下
（有前厅经验，酒店干过，形象好可放宽一点）
每月10号发工资","工作地点
北京朝阳区凤凰汇购物中心1
查看地图"
必胜客服务员-集宁维多利-时间灵活就近分配福利好.,3001-4000元,经验不限,高中,"职位描述
五险一金
五险
职位描述：必胜客餐厅服务员-全职
【工作内容】
1、外场：餐区带位、点餐、传菜、收银、清洁及顾客服务等工作
2、内场：食品制作、水吧、清洁工作（器具清洁）等工作
【任职资格】
1、年龄满18-40周岁，高中或同等以上学历；
2、热情开朗、正直诚信、有团队精神；
3、适应快节奏、高效的工作环境，乐于从事餐饮连锁零售业；
4、能接受早、中、晚轮班工作时间。
【薪酬福利】
1、综合薪资3000-4000元/月；
2、法定节假日3倍薪资；
3、入职即享受五险一金
4、周休1-2天，享受5-15天带薪年假（全职根据工作年限）
5、工作期间用餐可享有员工优惠套餐价；
6、工作餐厅就近分配。","工作地点
集宁区必胜客(乌兰察布维多利广场店)
查看地图"
国企餐厅服务员,3000-4000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
五险一金
餐厅服务员
年龄：35周岁以下，男女不限，身体健康，形象较好，能吃苦耐劳，工作态度认真
薪资待遇：3000元/月，
工作时间：
Ø 正常班时间9:30～中餐结束；16:30～晚餐结束。
Ø 早班6:30～10:30.16:30～晚餐结束。","工作地点
田家庵区淮南煤矿宾馆
查看地图"
